orderid,warehouse,store,city,state,category,product,order_date,units_sold,unit_price,total_amount
ORD806280,Swire Coca-Cola,CVS,Los Angeles,California,Soft Drinks,Dr Pepper,2023-09-23,832,3.47,2887.04
ORD263777,Swire Coca-Cola,Walmart,Atlanta,Georgia,Water,Aquafina,2023-10-18,871,2.93,2552.03
ORD723746,Coca-Cola Bottling Company United,Safeway,Los Angeles,California,Water,Dasani,2023-09-19,664,3.25,2158.0
ORD733321,Coca-Cola Bottling Company United,Kroger,Boston,Massachusetts,Water,Dasani,2023-02-04,807,2.47,1993.29
ORD257550,Coca-Cola Bottling Company United,Target,Denver,Colorado,Water,Aquafina,2023-06-28,614,2.37,1455.18
ORD793879,Coca-Cola Bottling Co. Consolidated,Kroger,Los Angeles,California,Alcoholic Beverages,Simply Spiked Lemonade,2023-09-14,640,3.34,2137.6
ORD478041,Coca-Cola Bottling Co. Consolidated,Walmart,Miami,Florida,Soft Drinks,Coca-Cola Classic,2023-03-19,522,1.75,913.5
ORD190298,Reyes Coca-Cola Bottling,Costco,Atlanta,Georgia,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-07,756,2.92,2207.52
ORD775844,Swire Coca-Cola,Sam's Club,New York,New York,Water,Aquafina,2023-06-19,187,2.71,506.77
ORD324146,Reyes Coca-Cola Bottling,CVS,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-22,415,3.28,1361.2
ORD593879,Reyes Coca-Cola Bottling,7-Eleven,Houston,Texas,Water,Smartwater,2023-11-06,430,2.54,1092.2
ORD550126,Coca-Cola Bottling Company United,Publix,Houston,Texas,Alcoholic Beverages,Simply Spiked Lemonade,2023-11-23,563,2.06,1159.78
ORD720140,Coca-Cola Bottling Company United,Walgreens,Denver,Colorado,Soft Drinks,Sprite,2023-06-18,327,2.44,797.88
ORD459799,Swire Coca-Cola,Costco,Denver,Colorado,Alcoholic Beverages,Jack & Coke,2023-04-24,849,2.45,2080.05
ORD127312,Swire Coca-Cola,Publix,Miami,Florida,Water,Smartwater,2023-01-03,382,1.92,733.44
ORD930920,Swire Coca-Cola,Sam's Club,Miami,Florida,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-19,940,1.52,1428.8
ORD514587,Coca-Cola Bottling Company United,Kroger,Houston,Texas,Soft Drinks,Coca-Cola Classic,2023-09-01,708,3.39,2400.12
ORD524385,Swire Coca-Cola,Walgreens,Phoenix,Arizona,Soft Drinks,Diet Coke,2023-06-23,801,2.18,1746.18
ORD550399,Swire Coca-Cola,Walmart,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-02-14,168,1.76,295.68
ORD727986,Swire Coca-Cola,7-Eleven,Boston,Massachusetts,Soft Drinks,Diet Coke,2023-07-08,68,2.1,142.8
ORD475040,Coca-Cola Bottling Company United,CVS,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-01-18,745,1.33,990.85
ORD627311,Reyes Coca-Cola Bottling,Target,Atlanta,Georgia,Soft Drinks,Coca-Cola Classic,2023-02-28,798,1.94,1548.12
ORD666159,Coca-Cola Bottling Company United,Walmart,Phoenix,Arizona,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-17,683,2.53,1727.99
ORD151972,Coca-Cola Bottling Company United,Walgreens,Houston,Texas,Alcoholic Beverages,Simply Spiked Lemonade,2023-07-21,392,1.22,478.24
ORD777019,Coca-Cola Bottling Company United,Costco,Denver,Colorado,Soft Drinks,Dr Pepper,2023-03-24,555,3.45,1914.75
ORD671599,Swire Coca-Cola,Safeway,Chicago,Illinois,Water,Aquafina,2023-03-03,805,2.38,1915.9
ORD582056,Coca-Cola Beverages Florida,Safeway,New York,New York,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-05,241,1.57,378.37
ORD431538,Coca-Cola Bottling Co. Consolidated,Walmart,Seattle,Washington,Soft Drinks,Dr Pepper,2023-12-02,265,1.66,439.9
ORD453908,Coca-Cola Beverages Florida,Walmart,Boston,Massachusetts,Water,Smartwater,2023-01-29,463,2.36,1092.68
ORD348760,Swire Coca-Cola,Publix,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-11-27,920,1.07,984.4
ORD364740,Coca-Cola Beverages Florida,Publix,Miami,Florida,Water,Dasani,2023-12-18,683,3.36,2294.88
ORD150426,Swire Coca-Cola,Kroger,Seattle,Washington,Soft Drinks,Dr Pepper,2023-04-21,569,1.69,961.61
ORD651936,Swire Coca-Cola,Target,Atlanta,Georgia,Soft Drinks,Diet Coke,2023-07-01,978,1.17,1144.26
ORD965812,Coca-Cola Beverages Florida,CVS,Phoenix,Arizona,Alcoholic Beverages,Simply Spiked Lemonade,2023-10-24,78,2.17,169.26
ORD849755,Coca-Cola Bottling Co. Consolidated,Target,Chicago,Illinois,Alcoholic Beverages,Jack & Coke,2023-09-10,885,1.87,1654.95
ORD357297,Coca-Cola Beverages Florida,Walgreens,Los Angeles,California,Soft Drinks,Coca-Cola Classic,2023-05-19,571,2.83,1615.93
ORD666985,Reyes Coca-Cola Bottling,Walgreens,Los Angeles,California,Alcoholic Beverages,Simply Spiked Lemonade,2023-04-10,279,2.78,775.62
ORD975702,Coca-Cola Bottling Co. Consolidated,CVS,Houston,Texas,Alcoholic Beverages,Simply Spiked Lemonade,2023-07-27,343,1.2,411.6
ORD726779,Coca-Cola Bottling Company United,Kroger,Houston,Texas,Water,Dasani,2023-09-05,879,1.17,1028.43
ORD449277,Swire Coca-Cola,Costco,Los Angeles,California,Alcoholic Beverages,Simply Spiked Lemonade,2023-11-02,417,1.31,546.27
ORD431404,Reyes Coca-Cola Bottling,Sam's Club,Atlanta,Georgia,Water,Smartwater,2023-09-13,208,2.5,520.0
ORD360224,Coca-Cola Beverages Florida,Kroger,Miami,Florida,Alcoholic Beverages,Jack & Coke,2023-06-10,533,2.42,1289.86
ORD869669,Swire Coca-Cola,Costco,Chicago,Illinois,Soft Drinks,Sprite,2023-07-09,291,1.98,576.18
ORD229907,Swire Coca-Cola,Target,Houston,Texas,Soft Drinks,Fanta,2023-05-30,455,2.15,978.25
ORD616823,Reyes Coca-Cola Bottling,Walmart,New York,New York,Soft Drinks,Diet Coke,2023-08-08,257,1.95,501.15
ORD676655,Coca-Cola Bottling Company United,Safeway,New York,New York,Soft Drinks,Dr Pepper,2023-09-02,712,2.92,2079.04
ORD636718,Swire Coca-Cola,7-Eleven,Atlanta,Georgia,Soft Drinks,Coca-Cola Classic,2023-12-26,762,3.44,2621.28
ORD137330,Coca-Cola Bottling Company United,Sam's Club,Boston,Massachusetts,Soft Drinks,Coca-Cola Classic,2023-06-21,669,1.14,762.66
ORD901331,Coca-Cola Bottling Company United,CVS,Atlanta,Georgia,Water,Smartwater,2023-05-15,718,2.34,1680.12
ORD941739,Reyes Coca-Cola Bottling,Safeway,Seattle,Washington,Alcoholic Beverages,Jack & Coke,2023-10-29,615,2.87,1765.05
ORD547310,Coca-Cola Bottling Co. Consolidated,Target,Miami,Florida,Alcoholic Beverages,Jack & Coke,2023-05-28,664,2.29,1520.56
ORD974934,Coca-Cola Bottling Co. Consolidated,Kroger,New York,New York,Alcoholic Beverages,Simply Spiked Lemonade,2023-09-28,290,3.48,1009.2
ORD721680,Reyes Coca-Cola Bottling,Safeway,Boston,Massachusetts,Water,Smartwater,2023-11-04,926,1.69,1564.94
ORD470293,Coca-Cola Bottling Co. Consolidated,Walgreens,Boston,Massachusetts,Soft Drinks,Coca-Cola Classic,2023-08-11,320,2.91,931.2
ORD316865,Swire Coca-Cola,Safeway,Boston,Massachusetts,Water,Smartwater,2023-10-15,73,1.14,83.22
ORD216638,Coca-Cola Beverages Florida,Costco,New York,New York,Water,Smartwater,2023-01-01,223,3.29,733.67
ORD333132,Reyes Coca-Cola Bottling,CVS,Boston,Massachusetts,Soft Drinks,Fanta,2023-04-10,321,1.77,568.17
ORD623154,Coca-Cola Bottling Company United,Safeway,Los Angeles,California,Soft Drinks,Diet Coke,2023-11-03,396,2.62,1037.52
ORD879975,Reyes Coca-Cola Bottling,Walgreens,Boston,Massachusetts,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-26,476,3.12,1485.12
ORD834768,Swire Coca-Cola,Sam's Club,Chicago,Illinois,Soft Drinks,Coca-Cola Classic,2023-03-15,588,1.18,693.84
ORD123396,Reyes Coca-Cola Bottling,Costco,Atlanta,Georgia,Soft Drinks,Fanta,2023-07-25,892,1.48,1320.16
ORD821579,Swire Coca-Cola,Walmart,Boston,Massachusetts,Soft Drinks,Diet Coke,2023-10-15,574,1.2,688.8
ORD238130,Swire Coca-Cola,CVS,Houston,Texas,Soft Drinks,Sprite,2023-11-03,62,2.59,160.58
ORD747935,Swire Coca-Cola,CVS,Seattle,Washington,Water,Dasani,2023-01-22,603,1.02,615.06
ORD561131,Swire Coca-Cola,Sam's Club,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-02-04,614,2.36,1449.04
ORD366674,Swire Coca-Cola,Costco,Phoenix,Arizona,Water,Dasani,2023-02-07,109,1.69,184.21
ORD478969,Coca-Cola Beverages Florida,Walgreens,Seattle,Washington,Water,Aquafina,2023-01-26,893,2.74,2446.82
ORD280608,Coca-Cola Bottling Company United,Costco,New York,New York,Alcoholic Beverages,Simply Spiked Lemonade,2023-07-17,600,1.04,624.0
ORD163029,Coca-Cola Bottling Company United,7-Eleven,Boston,Massachusetts,Water,Smartwater,2023-03-25,473,2.66,1258.18
ORD196760,Coca-Cola Beverages Florida,Safeway,Chicago,Illinois,Soft Drinks,Dr Pepper,2023-06-04,571,3.42,1952.82
ORD258211,Coca-Cola Beverages Florida,Costco,Miami,Florida,Alcoholic Beverages,Jack & Coke,2023-11-23,422,2.05,865.1
ORD382622,Coca-Cola Bottling Company United,Walgreens,Houston,Texas,Water,Smartwater,2023-09-28,689,1.96,1350.44
ORD301157,Coca-Cola Bottling Company United,Safeway,Phoenix,Arizona,Water,Aquafina,2023-04-04,201,2.67,536.67
ORD356103,Reyes Coca-Cola Bottling,Costco,Miami,Florida,Alcoholic Beverages,Simply Spiked Lemonade,2023-03-11,582,2.57,1495.74
ORD419194,Coca-Cola Bottling Company United,Sam's Club,Seattle,Washington,Soft Drinks,Sprite,2023-02-21,626,3.1,1940.6
ORD864220,Coca-Cola Bottling Co. Consolidated,7-Eleven,Houston,Texas,Alcoholic Beverages,Simply Spiked Lemonade,2023-03-09,694,1.18,818.92
ORD778641,Reyes Coca-Cola Bottling,Costco,Miami,Florida,Alcoholic Beverages,Jack & Coke,2023-04-07,615,2.67,1642.05
ORD103547,Coca-Cola Bottling Company United,Kroger,Chicago,Illinois,Water,Aquafina,2023-08-19,315,2.28,718.2
ORD914892,Coca-Cola Bottling Co. Consolidated,Costco,Seattle,Washington,Alcoholic Beverages,Jack & Coke,2023-11-05,307,2.33,715.31
ORD855032,Swire Coca-Cola,Publix,Phoenix,Arizona,Water,Dasani,2023-12-27,960,3.33,3196.8
ORD909189,Swire Coca-Cola,Safeway,Phoenix,Arizona,Water,Aquafina,2023-01-20,273,3.36,917.28
ORD990170,Coca-Cola Bottling Co. Consolidated,Costco,Denver,Colorado,Water,Dasani,2023-11-30,175,1.54,269.5
ORD192609,Swire Coca-Cola,Publix,Seattle,Washington,Alcoholic Beverages,Jack & Coke,2023-01-29,597,3.23,1928.31
ORD582140,Coca-Cola Beverages Florida,7-Eleven,Phoenix,Arizona,Alcoholic Beverages,Jack & Coke,2023-05-23,585,3.39,1983.15
ORD717339,Coca-Cola Bottling Company United,Walgreens,Atlanta,Georgia,Water,Smartwater,2023-06-12,562,1.62,910.44
ORD538887,Coca-Cola Bottling Co. Consolidated,Publix,Houston,Texas,Alcoholic Beverages,Jack & Coke,2023-07-04,362,2.06,745.72
ORD717514,Swire Coca-Cola,Target,Atlanta,Georgia,Soft Drinks,Diet Coke,2023-02-05,55,1.14,62.7
ORD886246,Coca-Cola Beverages Florida,Sam's Club,Miami,Florida,Water,Dasani,2023-09-03,115,1.71,196.65
ORD494031,Coca-Cola Bottling Company United,7-Eleven,Boston,Massachusetts,Soft Drinks,Diet Coke,2023-12-27,229,2.13,487.77
ORD908912,Coca-Cola Bottling Company United,Walgreens,Miami,Florida,Water,Dasani,2023-04-02,463,2.13,986.19
ORD481874,Reyes Coca-Cola Bottling,Walmart,Atlanta,Georgia,Soft Drinks,Coca-Cola Classic,2023-02-24,738,2.84,2095.92
ORD598773,Coca-Cola Beverages Florida,Target,Seattle,Washington,Soft Drinks,Diet Coke,2023-08-01,886,2.55,2259.3
ORD911484,Coca-Cola Beverages Florida,Walmart,Chicago,Illinois,Water,Dasani,2023-03-13,832,2.86,2379.52
ORD920643,Coca-Cola Bottling Company United,7-Eleven,Houston,Texas,Soft Drinks,Fanta,2023-07-08,672,1.64,1102.08
ORD826926,Coca-Cola Bottling Company United,CVS,Miami,Florida,Soft Drinks,Fanta,2023-05-04,846,2.07,1751.22
ORD211060,Swire Coca-Cola,Walmart,New York,New York,Water,Smartwater,2023-07-19,290,2.88,835.2
ORD425915,Coca-Cola Bottling Co. Consolidated,7-Eleven,Seattle,Washington,Soft Drinks,Fanta,2023-10-25,240,2.97,712.8
ORD373762,Coca-Cola Bottling Co. Consolidated,Target,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-04-18,553,2.38,1316.14
ORD346301,Coca-Cola Beverages Florida,Safeway,Los Angeles,California,Alcoholic Beverages,Jack & Coke,2023-05-31,192,1.24,238.08
ORD155894,Swire Coca-Cola,Walmart,Houston,Texas,Water,Aquafina,2023-08-22,774,3.2,2476.8
ORD441664,Coca-Cola Beverages Florida,CVS,Houston,Texas,Water,Smartwater,2023-10-12,984,2.03,1997.52
ORD636672,Coca-Cola Beverages Florida,CVS,Los Angeles,California,Soft Drinks,Dr Pepper,2023-12-20,432,2.32,1002.24
ORD993965,Coca-Cola Bottling Co. Consolidated,Safeway,Boston,Massachusetts,Soft Drinks,Fanta,2023-01-08,252,1.99,501.48
ORD207537,Swire Coca-Cola,Target,Miami,Florida,Water,Aquafina,2023-11-17,296,2.65,784.4
ORD405797,Coca-Cola Bottling Co. Consolidated,7-Eleven,Miami,Florida,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-07,689,2.24,1543.36
ORD226811,Coca-Cola Bottling Company United,Target,Miami,Florida,Soft Drinks,Sprite,2023-08-13,239,2.77,662.03
ORD416463,Coca-Cola Bottling Co. Consolidated,Safeway,Los Angeles,California,Soft Drinks,Dr Pepper,2023-03-07,427,1.15,491.05
ORD529525,Coca-Cola Bottling Company United,Safeway,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-07-30,775,2.94,2278.5
ORD769931,Swire Coca-Cola,Target,Phoenix,Arizona,Water,Aquafina,2023-05-30,697,2.9,2021.3
ORD360832,Coca-Cola Bottling Co. Consolidated,CVS,Denver,Colorado,Alcoholic Beverages,Jack & Coke,2023-01-13,669,1.07,715.83
ORD267967,Swire Coca-Cola,Publix,Chicago,Illinois,Alcoholic Beverages,Jack & Coke,2023-09-30,251,3.15,790.65
ORD599031,Coca-Cola Beverages Florida,7-Eleven,Los Angeles,California,Water,Smartwater,2023-05-20,403,2.15,866.45
ORD883567,Reyes Coca-Cola Bottling,Costco,Miami,Florida,Water,Aquafina,2023-09-19,113,1.48,167.24
ORD679385,Coca-Cola Bottling Company United,Target,New York,New York,Soft Drinks,Sprite,2023-09-25,396,2.32,918.72
ORD264221,Coca-Cola Bottling Co. Consolidated,Walgreens,Houston,Texas,Water,Smartwater,2023-12-13,899,1.76,1582.24
ORD321180,Coca-Cola Bottling Co. Consolidated,Safeway,Chicago,Illinois,Alcoholic Beverages,Jack & Coke,2023-12-25,993,2.02,2005.86
ORD659233,Coca-Cola Bottling Company United,Walmart,Miami,Florida,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-12,867,1.6,1387.2
ORD918865,Swire Coca-Cola,Costco,Denver,Colorado,Water,Aquafina,2023-04-01,475,1.85,878.75
ORD572237,Coca-Cola Bottling Co. Consolidated,Costco,Boston,Massachusetts,Soft Drinks,Fanta,2023-02-22,198,3.39,671.22
ORD295205,Swire Coca-Cola,Publix,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-01-17,181,1.32,238.92
ORD536275,Swire Coca-Cola,Costco,Phoenix,Arizona,Alcoholic Beverages,Jack & Coke,2023-09-02,447,1.15,514.05
ORD108684,Reyes Coca-Cola Bottling,Kroger,Los Angeles,California,Water,Dasani,2023-07-05,473,3.2,1513.6
ORD269360,Coca-Cola Beverages Florida,Safeway,Phoenix,Arizona,Water,Smartwater,2023-04-22,897,2.59,2323.23
ORD147103,Coca-Cola Beverages Florida,Target,Houston,Texas,Water,Aquafina,2023-01-10,215,2.49,535.35
ORD396896,Reyes Coca-Cola Bottling,Costco,Phoenix,Arizona,Water,Aquafina,2023-08-05,598,2.29,1369.42
ORD822376,Reyes Coca-Cola Bottling,Publix,New York,New York,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-09,188,1.83,344.04
ORD712553,Reyes Coca-Cola Bottling,7-Eleven,Los Angeles,California,Alcoholic Beverages,Simply Spiked Lemonade,2023-07-16,581,2.99,1737.19
ORD744022,Swire Coca-Cola,Walgreens,Chicago,Illinois,Alcoholic Beverages,Simply Spiked Lemonade,2023-07-18,338,1.62,547.56
ORD198228,Coca-Cola Beverages Florida,7-Eleven,Boston,Massachusetts,Alcoholic Beverages,Jack & Coke,2023-08-15,634,1.51,957.34
ORD433717,Reyes Coca-Cola Bottling,7-Eleven,Boston,Massachusetts,Soft Drinks,Sprite,2023-07-08,651,2.75,1790.25
ORD455578,Coca-Cola Bottling Co. Consolidated,Safeway,Phoenix,Arizona,Soft Drinks,Sprite,2023-01-25,810,2.05,1660.5
ORD440214,Coca-Cola Bottling Company United,Target,Houston,Texas,Water,Aquafina,2023-09-10,795,3.28,2607.6
ORD880855,Swire Coca-Cola,Safeway,New York,New York,Water,Smartwater,2023-04-03,147,2.91,427.77
ORD125061,Reyes Coca-Cola Bottling,Publix,Atlanta,Georgia,Soft Drinks,Diet Coke,2023-08-05,333,3.4,1132.2
ORD668294,Coca-Cola Bottling Company United,Walgreens,New York,New York,Water,Smartwater,2023-06-09,569,1.96,1115.24
ORD245268,Swire Coca-Cola,Costco,Houston,Texas,Alcoholic Beverages,Jack & Coke,2023-06-19,639,3.34,2134.26
ORD200740,Coca-Cola Bottling Co. Consolidated,Publix,Seattle,Washington,Alcoholic Beverages,Jack & Coke,2023-08-17,789,2.38,1877.82
ORD757331,Coca-Cola Bottling Company United,Publix,Houston,Texas,Water,Smartwater,2023-09-03,120,1.41,169.2
ORD450896,Coca-Cola Bottling Company United,CVS,Houston,Texas,Water,Smartwater,2023-08-14,446,2.29,1021.34
ORD515242,Reyes Coca-Cola Bottling,Walgreens,Los Angeles,California,Water,Smartwater,2023-07-27,699,2.9,2027.1
ORD666881,Coca-Cola Beverages Florida,7-Eleven,Chicago,Illinois,Water,Smartwater,2023-08-25,147,2.91,427.77
ORD188411,Coca-Cola Bottling Company United,Costco,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-25,75,3.2,240.0
ORD828408,Coca-Cola Bottling Company United,Safeway,Houston,Texas,Water,Smartwater,2023-03-22,930,3.44,3199.2
ORD731302,Coca-Cola Beverages Florida,Costco,Denver,Colorado,Water,Aquafina,2023-01-06,120,1.26,151.2
ORD152017,Coca-Cola Beverages Florida,Publix,Miami,Florida,Water,Smartwater,2023-04-29,889,2.39,2124.71
ORD773176,Coca-Cola Bottling Co. Consolidated,Publix,Seattle,Washington,Water,Aquafina,2023-03-02,788,2.07,1631.16
ORD669111,Coca-Cola Beverages Florida,Publix,Houston,Texas,Water,Aquafina,2023-04-30,852,1.65,1405.8
ORD414756,Coca-Cola Bottling Company United,Walgreens,Atlanta,Georgia,Soft Drinks,Coca-Cola Classic,2023-10-07,476,2.69,1280.44
ORD897810,Coca-Cola Bottling Company United,Kroger,Denver,Colorado,Soft Drinks,Sprite,2023-09-15,792,2.54,2011.68
ORD375416,Coca-Cola Beverages Florida,Target,Phoenix,Arizona,Water,Dasani,2023-12-29,79,3.27,258.33
ORD508607,Coca-Cola Bottling Company United,Kroger,Los Angeles,California,Soft Drinks,Dr Pepper,2023-05-31,61,3.14,191.54
ORD531500,Coca-Cola Beverages Florida,CVS,Houston,Texas,Water,Smartwater,2023-12-18,162,2.44,395.28
ORD521625,Swire Coca-Cola,Target,New York,New York,Soft Drinks,Fanta,2023-06-11,235,1.44,338.4
ORD211286,Coca-Cola Bottling Co. Consolidated,Sam's Club,Miami,Florida,Soft Drinks,Coca-Cola Classic,2023-06-14,413,2.61,1077.93
ORD627095,Coca-Cola Beverages Florida,CVS,Chicago,Illinois,Water,Dasani,2023-07-18,396,2.07,819.72
ORD473026,Coca-Cola Bottling Company United,Kroger,Houston,Texas,Soft Drinks,Fanta,2023-03-21,789,1.27,1002.03
ORD849495,Coca-Cola Bottling Co. Consolidated,Target,New York,New York,Soft Drinks,Fanta,2023-11-08,209,3.26,681.34
ORD909413,Coca-Cola Bottling Co. Consolidated,7-Eleven,Denver,Colorado,Alcoholic Beverages,Jack & Coke,2023-09-13,542,3.37,1826.54
ORD908159,Coca-Cola Beverages Florida,7-Eleven,Boston,Massachusetts,Alcoholic Beverages,Jack & Coke,2023-06-19,637,1.65,1051.05
ORD931235,Coca-Cola Bottling Company United,Target,Seattle,Washington,Water,Aquafina,2023-04-17,361,2.45,884.45
ORD254739,Coca-Cola Bottling Co. Consolidated,Walmart,Miami,Florida,Alcoholic Beverages,Jack & Coke,2023-07-30,845,1.26,1064.7
ORD565854,Swire Coca-Cola,Costco,Boston,Massachusetts,Soft Drinks,Diet Coke,2023-06-11,720,1.06,763.2
ORD652320,Coca-Cola Bottling Company United,Costco,Boston,Massachusetts,Water,Aquafina,2023-04-20,504,2.68,1350.72
ORD618548,Coca-Cola Beverages Florida,Publix,Chicago,Illinois,Soft Drinks,Coca-Cola Classic,2023-10-09,753,3.3,2484.9
ORD881814,Reyes Coca-Cola Bottling,7-Eleven,New York,New York,Water,Dasani,2023-04-09,236,1.8,424.8
ORD963391,Reyes Coca-Cola Bottling,Walmart,Los Angeles,California,Alcoholic Beverages,Jack & Coke,2023-01-02,106,1.5,159.0
ORD173340,Coca-Cola Beverages Florida,Target,Atlanta,Georgia,Soft Drinks,Fanta,2023-05-29,61,2.03,123.83
ORD140745,Coca-Cola Bottling Co. Consolidated,Kroger,Houston,Texas,Water,Smartwater,2023-04-02,335,1.44,482.4
ORD648271,Coca-Cola Bottling Co. Consolidated,Kroger,Atlanta,Georgia,Alcoholic Beverages,Jack & Coke,2023-12-20,969,2.62,2538.78
ORD655598,Reyes Coca-Cola Bottling,Target,Denver,Colorado,Soft Drinks,Diet Coke,2023-06-30,403,2.47,995.41
ORD916089,Coca-Cola Bottling Co. Consolidated,Walgreens,Phoenix,Arizona,Alcoholic Beverages,Simply Spiked Lemonade,2023-02-18,614,1.63,1000.82
ORD161018,Swire Coca-Cola,Target,Denver,Colorado,Water,Smartwater,2023-05-06,552,2.56,1413.12
ORD863889,Coca-Cola Beverages Florida,Costco,Chicago,Illinois,Alcoholic Beverages,Jack & Coke,2023-02-22,825,3.42,2821.5
ORD630996,Coca-Cola Bottling Company United,Safeway,New York,New York,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-19,853,2.43,2072.79
ORD755203,Coca-Cola Beverages Florida,Kroger,Boston,Massachusetts,Soft Drinks,Dr Pepper,2023-02-03,835,1.35,1127.25
ORD535543,Coca-Cola Beverages Florida,CVS,Phoenix,Arizona,Alcoholic Beverages,Simply Spiked Lemonade,2023-07-05,241,1.11,267.51
ORD149254,Coca-Cola Beverages Florida,7-Eleven,Los Angeles,California,Alcoholic Beverages,Jack & Coke,2023-04-23,721,2.27,1636.67
ORD535624,Coca-Cola Bottling Company United,Sam's Club,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-08-02,503,2.88,1448.64
ORD261266,Swire Coca-Cola,Costco,Phoenix,Arizona,Water,Dasani,2023-12-04,630,2.11,1329.3
ORD332017,Swire Coca-Cola,Walmart,Seattle,Washington,Alcoholic Beverages,Jack & Coke,2023-12-08,641,1.51,967.91
ORD916606,Coca-Cola Bottling Co. Consolidated,Publix,Seattle,Washington,Alcoholic Beverages,Jack & Coke,2023-06-01,796,1.74,1385.04
ORD225765,Coca-Cola Bottling Co. Consolidated,Walgreens,Los Angeles,California,Alcoholic Beverages,Simply Spiked Lemonade,2023-02-04,778,2.43,1890.54
ORD190696,Coca-Cola Bottling Company United,Sam's Club,Houston,Texas,Soft Drinks,Fanta,2023-06-27,869,2.91,2528.79
ORD613435,Coca-Cola Bottling Company United,Sam's Club,Houston,Texas,Soft Drinks,Coca-Cola Classic,2023-05-31,211,2.19,462.09
ORD192536,Coca-Cola Bottling Co. Consolidated,Walmart,Seattle,Washington,Soft Drinks,Fanta,2023-10-10,187,3.4,635.8
ORD877656,Coca-Cola Beverages Florida,CVS,Atlanta,Georgia,Water,Aquafina,2023-12-15,505,2.12,1070.6
ORD699234,Coca-Cola Beverages Florida,Publix,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-01-29,150,2.72,408.0
ORD476043,Reyes Coca-Cola Bottling,Target,Denver,Colorado,Soft Drinks,Coca-Cola Classic,2023-11-14,744,3.02,2246.88
ORD100916,Coca-Cola Bottling Company United,Publix,Seattle,Washington,Soft Drinks,Fanta,2023-11-07,942,3.1,2920.2
ORD948793,Reyes Coca-Cola Bottling,Kroger,Denver,Colorado,Soft Drinks,Fanta,2023-08-25,595,2.49,1481.55
ORD143346,Coca-Cola Beverages Florida,Publix,Boston,Massachusetts,Soft Drinks,Sprite,2023-11-30,972,2.32,2255.04
ORD593671,Coca-Cola Bottling Co. Consolidated,Target,Houston,Texas,Water,Dasani,2023-02-01,770,2.34,1801.8
ORD912181,Coca-Cola Beverages Florida,Safeway,Seattle,Washington,Water,Smartwater,2023-11-22,745,3.01,2242.45
ORD109076,Coca-Cola Beverages Florida,Sam's Club,Seattle,Washington,Water,Smartwater,2023-01-19,539,2.84,1530.76
ORD948107,Reyes Coca-Cola Bottling,7-Eleven,Chicago,Illinois,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-24,231,1.06,244.86
ORD179948,Reyes Coca-Cola Bottling,Sam's Club,Los Angeles,California,Alcoholic Beverages,Jack & Coke,2023-08-26,148,3.03,448.44
ORD382700,Swire Coca-Cola,Costco,Houston,Texas,Alcoholic Beverages,Simply Spiked Lemonade,2023-04-27,808,2.5,2020.0
ORD107547,Coca-Cola Bottling Company United,Publix,Miami,Florida,Alcoholic Beverages,Simply Spiked Lemonade,2023-08-12,418,3.3,1379.4
ORD695710,Coca-Cola Bottling Co. Consolidated,Publix,Phoenix,Arizona,Soft Drinks,Coca-Cola Classic,2023-01-08,644,3.44,2215.36
ORD558932,Coca-Cola Bottling Co. Consolidated,Sam's Club,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-18,738,1.46,1077.48
ORD601827,Coca-Cola Beverages Florida,Walmart,Phoenix,Arizona,Water,Dasani,2023-09-17,251,1.79,449.29
ORD916032,Swire Coca-Cola,Walmart,Houston,Texas,Water,Smartwater,2023-12-15,472,3.35,1581.2
ORD515769,Swire Coca-Cola,CVS,Denver,Colorado,Water,Dasani,2023-02-16,409,3.5,1431.5
ORD479021,Coca-Cola Beverages Florida,Publix,Denver,Colorado,Alcoholic Beverages,Jack & Coke,2023-09-28,420,3.27,1373.4
ORD846344,Coca-Cola Bottling Co. Consolidated,Kroger,Houston,Texas,Alcoholic Beverages,Jack & Coke,2023-05-15,738,3.26,2405.88
